iter	Passed	Remaining
0	0	92
1	1	83
2	2	76
3	3	73
4	3	71
5	4	69
6	5	69
7	5	68
8	6	70
9	7	69
10	8	68
11	9	67
12	9	66
13	10	65
14	11	65
15	12	64
16	12	63
17	13	62
18	14	61
19	15	60
20	15	59
21	16	58
22	17	58
23	18	58
24	19	58
25	20	57
26	21	57
27	21	56
28	22	55
29	23	54
30	24	53
31	24	53
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	41
45	35	41
46	35	40
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	40	35
53	41	34
54	41	33
55	42	33
56	43	32
57	43	31
58	44	30
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	53	22
70	53	21
71	54	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	59	16
78	60	16
79	61	15
80	62	14
81	62	13
82	63	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	70	6
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	75	2
97	76	1
98	77	0
99	78	0
